get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
how did {dawn|name} hear about our corporation,What is the {total|function} {number of|function} {Black or African American|racedesc} folks that currently work in the US?,Which employees have been with the company longest?,"According to the {payroll|money}, how much does {Carla Demita|name} get in {earnings|money}?",{number of|function} people {earning|money} {fewer than|comparator} {40|sys_number} dollars {hourly|time_recur}?,which employees are {making|money} {less than|comparator} {average|function},{Leigh Smith|name} {date of birth|dob},What {percentage|function} of employees were {born|dob} {after|date_compare} {2010|sys_time}?,I want all of the employees in the {sales department|department} that were {hired|employment_action} {more than|comparator} {four years ago|sys_time},list employees who {leads|manager} {Adrienne Homberger|name},Gimmmie a list of employees that are currently {work for|manager} {Peter Monroe|name}
Does {Michael|name} {still work at|employment_status} Cisco?,{average|function} {age of|age} workers who are {older than|comparator} {30|sys_number} {years old|age}?,employees are {under|comparator} {45|sys_number} {years old|age}?,What is {Brooke oliver|name}'s {each year|time_recur} {salary|money}?,give me the {typical|function} take home {salary|money} for {software engineering manager|position},{non-citizen|citizendesc} {paycheck|money}s,{Ashley Rose|name} {birthday|dob},I want the {total|function} {number of|function} employees that {joined|employment_action} {this year|sys_time},Can you tell me whether there are any {June|sys_time} {bday|dob} people,{amy dunn|name} {manager|manager} name,i want the name of everyone that is {working for|manager} {nan Singh|name}
is {Ivan Rogers|name} {currently active|employment_status} or not,What {count|function} of employees {meet 90-day expectations|performance_score}?,who is {working for|manager} {IT support|position}?,{april Evensen|name} {incomes|money},What is the {sum|function} of {earnings|money} of employees {terminated|employment_action} employees?,what are {accountant i|position} {paid|money} at this company,When was {Francesco Barone|name}'s {hiring date|employment_action}?,Tell me the {pct|function} of staff that have their {birth day|dob} in the year of {1922|sys_time},{November|sys_time} {born|dob} employees,so who is {Rose Ivey|name}'s reporting {manager|manager}?,{Janine Purinton|name} is the {mentor|manager} of which employees
Is the {software engineering|department} the dept that {Jeremiah Semizoglou|name} currently work in,whats the {added up|function} number of employees that are {37|age}?,{eligible noncitizen|citizendesc} employees,{Ivan Rogers|name} {Salary|money} {Daily|time_recur},"of all the {network engineer|position}s, what is the {highest|extreme} {earning|money} {amount|money}",who {make|money} a {salary|money} {more than|comparator} {200k|sys_number}?,The date was what when {Allison Lydon|name} began her {experience|employment_action} at the company,{1980|sys_time} {born|dob} employees {total|function} {count|function},who are our {1940's|time_interval} {born|dob} {software engineer|position} staff,who all is {management|manager} of {Estelle Howard|name},I want an employee list with all of the folks {working under|manager} {Yen Johnston|name}
{Adell Saada|name}'s occupation?,Fetch me the {count|function} of managers in the {it/is|department} department?,Tell me Which employees who are not {us citizen|citizendesc}?,When we let {ivan rogers|name} go {fired|employment_action} ?,What's the {ratios|function} {earnings|money} for the sexes?,{earnings|money} {female|sex},Please get me {DOB|dob} of {Ludwick Harrell|name},Fetch me {percent|function} that {started working|employment_action} {less than|comparator} {3 years|sys_duration} in the past,{hispanic|racedesc} employees {born|dob} {after|date_compare} {1950|sys_time},employees that directly {manage|manager} {Jeremy Prater|name},Give me all of the employees hv {Karen Mancuso|name} as their {manager|manager} that they {are under|manager}?
what's {Shakira|name}'s role at the organization,What is the {percentage|function} of {engineers|position} who are promoted to {manager|manager},All employees from {Alabama|state} state,What does {Rose Ivey|name}'s {make|money} look like?,{sr. accountant|position} {total|function} {salary|money},"Of the employees {hired|employment_action} {after|date_compare} {2014|sys_time} which employees {earn|money} between {$20,000|sys_amount-of-money} and {$56,000|sys_amount-of-money}?",{nan|name} {birth date|dob},{ratio|function} out of all of the employees that {started employment|employment_action} {less than|comparator} {2.5 years|sys_duration} before today,Which workers at the company have a {birthday|dob} {this year|sys_time},Tell me who is Mr.{Enrico Langton|name}'s {manager name|manager}?,{works for|manager} {scott|name}
What is {Julia|name}'s race?,{distribution|function} in department with prior experience,show me {multi-racial|racedesc} employees,{Payrate|money} {Mia Brown|name},"{total|function} {number of|function} employees are {paid|money} {above|comparator} {paycheck|money}{230,000|sys_number} {a year|sys_duration}?",{paycheck|money} {male|sex},What was {Estelle|name}s {start date|employment_action} at the company?,what is the {fraction|function} of employees that have been here {since|date_compare} the {2000's|time_interval},{seventies|time_interval} {born|dob} employees list,is {Andrew Szabo|name} {head|manager} of {Patrick Moran|name} or is it the other way around?,Which employees have {ivan|name} as their {manager|manager}?
how did {Ivan Rogers|name} hear about us,{ratio|function} employees work in {OH|state},{widowed|maritaldesc} employees,Tell me how much {Robyn Manchester|name} {earn|money},fetch me the {min|extreme} {paycheck|money} for a {administrative assistant|position} at this organization,Who {earns|money} the {most|extreme} in the {production department|department},When was {ivan rogers|name} {born|dob}?,{count|function} employees {born|dob} {before|date_compare} {1993|sys_time}?,Get me list of employees that have a {DOB|dob} the {nineteen thirties|time_interval},which employees that have a {manager name|manager},can you tell me whether {Amy|name} is a {boss|manager} or not?
what is {thomas murray|name}'s race?,What is the {average|function} {performance score|performance_score} of all employees?,employee {managers|position},What does {Maliki|name}'s {salary|money} look like?,{avg|function} {income|money} for {on-line web application|employee_source},get the {salaries|money} of employees in the {lowest|extreme} {income|money} bracket,Please Get me {Kelley Spirea|name}'s {Bday|dob},"For all of those that {joined|employment_action} the organization {before|date_compare} {1995|sys_time}, what is the {total|function} {count|function}",Give me a list of employees that were {hired|employment_action} into the company in {July|sys_time},is {Amy Dunn|name} {managed by|manager} {Peter Monroe|name},Who are those employees that directly {report|manager} to {keyla del bosque|name}
tell me what is {nan singh|name}'s citizenship status,{How many|function} people are {over|comparator} {21|sys_number}?,Who is our {maximum|extreme} employee?,Does {Brad Pitt|name} {income|money} {more than|comparator} {75k|sys_number}?,{How many|function} people are {paid|money} {less than|comparator} {30|sys_number} {dollars|money}?,who are the company's {lowest|extreme} {7|sys_number} {interracial|racedesc} {earners|money},What is {nan singh|name}'s {date of birth|dob}?,how many {joined|employment_action} {prior to|date_compare} {1998|sys_time},Tell me about employees who were {hired|employment_action} here in the Spring {2015|sys_time},is {Peter Monroe|name} the {manager|manager} for {Amy Dunn|name},All of the employees that are {reporting to|manager} to Mr. {Donovan Chang|name} if any
which branch is the one that {Brannon Miller|name} works in,{sum|function} employees live in {UT|state}?,Show {single|maritaldesc} employees,how much {$|money} does {Carl Desimone|name} make?,amount of {money|money} {earned|money} by {females|sex} in {total|function},{income|money} of {female|sex} in the org,When did {Seffi Shields|name} get {fired|employment_action} from the company?,Is there anyone who {joined|employment_action} us {prior to|date_compare} {1999|sys_time} or not,Which employees are {DOB|dob} in the second week of {march|sys_time},get me ms. {dunn|name}'s {manager|manager} full name,is {mia|name} the {manager|manager} of {julia|name}?
What does {sophia theamstern|name} do?,What is the {combined|function} number of employees the are of the {age of|age} {40|age}?,provide me a list of {it manager - infra|position},"Does {Howard Mullaney|name}'s {$|money} {less than|comparator} {48,000|sys_number}?",what is the {typical|function} {earning|money} of the employees who {report to|manager} {Donovan Chang|name}?,show me the {min|extreme} {earners|money} that are {senior database admins|position},When was {Charles Bozzi|name} {hired|employment_action}?,{count|function} of employees {born|dob} {before|date_compare} {1983|sys_time},{2011|sys_time} {started working here|employment_action},{Amy Dunn|name} {manager|manager},can i get the employee names for those {reporting|manager} to {Mia Brown|name}
"tell me, is {Julissa Hunts|name} a {widowed|maritaldesc} {lady|sex}?",what is the {summed|function} tenure of employees in {Ohio|state}?,employees that are {director of sales|position},What is {julia soto|name}'s exact {salary|money} in {dollars|money}?,what is the {average|function} {salary|money} that the company offered its employees for the {last|date_compare} {four and a half years|sys_duration}?,{software engineering|department} {pay|money},I want the date when {julia soto|name} {starting working|employment_action} here,{total|function} employees that have {been with the company|employment_action} for {less than|comparator} {9 years|sys_duration},find me the {black or african american|racedesc} {born|dob} {between 1980 and today|sys_interval},is {smith|name} {reporting to|manager} {christie harrington|name},{Amy Dunn|name} {manages|manager} which individuals?
is Mr.{julia soto|name} based in {Oregon|state},{percent|function} employees work in {IN|state},get me a list of {cio|position} staff,{jeanette|name} {earns|money} {every year|time_recur},what {portion|function} of employees that {work for|manager} {Mr. Butler|name} {make|money} {more than|comparator} {50k|sys_number}?,I want a list with {pay|money} of employees that are {us citizen|citizendesc},When was {Carla Demita|name}'s {join|employment_action} date?,{How many|function} employees were {born|dob} within {five years|sys_duration} of {1980|sys_time},Which employees are {born|dob} in the second week of {feb|sys_time},who is Ms. {Debra Houlihan|name} {supervisor|manager},Get me an employee list with people who {work for|manager} {Ludwick Harrell|name}
what {department|department} does {nan singh|name} currently work in,{total|function} employees are that {female|sex}?,employee with the {highest|extreme} {age|age},How much is {nan|name} {making|money} on {Payroll|money},what is the {min|extreme} {earning|money} in the {it|department} department,what are {it director|position} {making|money} at this company,What was {nan|name}'s {date of hiring|employment_action}?,what is the {total|function} {number of|function} employees that {started working|employment_action} here {before|date_compare} {2012|sys_interval},Show me {female|sex}s {born|dob} in the {nineteen forties|time_interval},whats the person that {Anita Shepard|name} has listed as her {supervisor|manager} name?,for which employees is {christie|name} the {boss|manager}
how {old|age} is {Michael|name} and is he a boy or a girl?,{percentage|function} working here that r {male|sex}?,{accountant i|position} employees,How much does Cisco give {nan|name} in {$|money} {monthly|time_recur}?,"what is the {fraction|function} of {female|sex} employees that {make|money} {above|comparator} {$75,000|sys_amount-of-money}",Tell me the employee that {works under|manager} {Melinda Saar-Beckles|name} that {makes|money} the {least|extreme} amount?,tell me {birth date|dob} of {Lei-Ming Nguyen|name},Can you {count|function} the number of people that {began working|employment_action} for this company {pre|date_compare} {2005|sys_time},Which employees were not yet {born|dob} when {9/11|sys_time} happened?,{Nori Sewkumar|name} is the {reporting|manager} authority of which employees,if There is anyone {working for|manager} Mr. {Julia Soto|name} who are those people?
whats {Daniff HerIvandez|name}'s race?,{How many|function} employees work for {Michael Albert|manager}?,Which employees were {join date|employment_action} at {glassdoor|employee_source}?,Is {50k|sys_number} {more than|comparator} what {Mia Brown|name} {make|money}s in {a year|sys_duration}?,what is the {total|function} amount of {money|money} {earned|money} by {women|sex},Which employee(s) have {highest|extreme} {paycheck|money}?,"When {Amy|name} was {born|dob}, what was the month",i want the {count|function} of employees that have their {bday|dob} {before|date_compare} {1996|sys_time},Which people weren't yet {born|dob} when {9/11|sys_time} occurred,who is the {boss|manager} of {James Cockel|name} that {leads|manager} him?,who {works for|manager} {Ivan Rogers|name}
What is {Hakim|name}'s level in the organization?,{cumulative|function} {num of|function} employees are managers?,employees have a {start date|employment_action} {before|date_compare} {June|sys_time}?,{melisa|name} {each day|time_recur} {earnings|money},{Mean|function} {pay|money} of workers {hired|employment_action} between {2013|sys_time} and {2014|sys_time},list employees {making|money} {more than|comparator} {average|function},When was it that {Barry Wilber|name} {started working|employment_action} here?,"{last|date_compare} {three months|sys_duration}, {total|function} {CA|state} {hired|employment_action}",{June|sys_time} {born|dob} in - employees,"Find me who is the person {Jackie|name} is {reporting to|manager}, her full name is {Jackie Valentin|name}",can i have all of the names who report to {Nori Sewkumar|name} as a list
the reason for {paula gross|name}'s sudden {end date|employment_action}?,{How many|function} employees are {above|comparator} {35|sys_number}?,which staff work in {IT|department},What does {Eric Dougall|name} {earnings|money} {monthly|time_recur},Describe the {salary|money} {range|function} for employees {hired|employment_action} in the {last|date_compare} {300 days|sys_duration},give me the {salaries|money} of {interracial|racedesc} employees in this company,What was day when {nan singh|name} was {born|dob},Were there more {men|sex} with {birthdays|dob} in {1990|sys_time} or more {women|sex},{2013|sys_time} {hired|employment_action} employees,Get me the person who is {managing|manager} {ermine pelletier|name},Is {Amy Dunn|name} a {manager|manager}
how {old|age} is {hogland|name} and is he a {boy|sex} or a {girl|sex}?,{cumulative|function} of Employees in department with prior experience,employees between the {age of|age} {20|sys_number} and {40|sys_number},What does {thelma petrowsky|name} {earner|money} {each day|time_recur},what do {men|sex} {make|money} here on {average|function}?,"For employees {hired|employment_action} {between|comparator} {3|sys_number} to {6 years|sys_duration} ago, which employee {earns|money} the {least|extreme}?",Has {Kristen Squatrito|name} been working here for {6 years|sys_duration}?,{how many|function} new employees based out of {California|state} in the {last|date_compare} {3 years|sys_duration}?,{fifteen|sys_number} {most|extreme} recently {fired|employment_action} employees,{boss|manager} name for mr {Bradley Knapp|name},Are there any workers who {report to|manager} to Mr.{barton|name}
Is {28|age} the {age of|age} {lauren mahoney|name}?,{Number of|function} {Married|maritaldesc} employees,who are the {top|extreme} {10|sys_number}{percent|function} {oldest|extreme} employees,{dianna blount|name} {earns|money} how much {by the week|time_recur},what is the {lowest|extreme} {income|money} that a {director of sales|position},{earnings|money} for people working in the {it/is|department},"When {Alexandra Kirill|name} was {joining|employment_action} the company, what was the date?",{total|function} of workers {DOB|dob} {prior to|date_compare} {1994|sys_time},have there been any employees that have been working here for {3 years|sys_duration} or even {more than|comparator} that,which employees currently have a {boss|manager} they are {reporting to|manager},for which employees is {Jeanette Tippett|name} the {leadership|manager}
What is Mrs.{Nowlan|name}'s position?,Calculate the {total|function} of employees that are {non-citizen|citizendesc}?,Which employees {quit working|employment_status} at Cisco?,What is {Brannon|name}'s {daily basis|time_recur} {paycheck|money}?,what is the {average|function} {income|money} of the employees who {are under|manager} is {Beatrice Chace|name}?,"Of all the {area sales manager|position}, which ones are the {top|extreme} {5|sys_number} {earners|money}",{Violeta Ferreira|name} {started|employment_action} when,"{started employment|employment_action} {less than|comparator} {3 yrs|sys_duration} ago, what's the {total|function} {count|function}",{1960's|time_interval} {born|dob} {asian|racedesc} workers,Who is {John Reeder|name}'s {manager|manager}?,Tell me who is the worker {reporting|manager} to {Nore Sadki|name}
which branch is it that {Melisa Gerke|name} is working in,{How many|function} employees were {born|dob} in {January|sys_time}?,{34|sys_number} {year old|age} employees,{earning|money} amount {Michelle|name},give me the {average|function} take home {salary|money} for {it director|position},"Of all the {senior database administrator|position}, which ones are the {lowest|extreme} {6|sys_number} {earners|money}",{Brooke Oliver|name} {DOB|dob},{count|function} of folks from {FL|state} in the {last|date_compare} {two years|sys_duration},{8|sys_number} recently {recruited|employment_action} employees,i want the {reporting|manager} {manager|manager} for both {ivan rogers|name} and {Nan|name},who all is {working for|manager} {Nan|name}
Was {beatrice|name} {fired|employment_action} due to {performance reasons|reason_for_termination}?,{How many|function} employees are {older than|comparator} {35|sys_number}?,employees {older than|comparator} {30 years|sys_duration},{Violeta Ferreira|name} {pay|money} info,Calc the {number of|function} {earners|money} in the company,"Of all the {Production Managers|position}, which ones are the {top|extreme} {5|sys_number} {earners|money}",When was {Julia|name} {fired|employment_action}?,{ratio|function} {joined|employment_action} {less than|comparator} {5 years|sys_duration}?,{fired|employment_action} {this month|date_compare} employees,who are {Nan|name} and {ivan|name} {working under|manager} currently,"is there anyone {reporting|manager} to Ms. {Amy dunn|name}, if so who are those people?"
tell me what is {Nader Barton|name}'s citizenship status,What is the {percent|function} of {production manager|position}s in the organization,Which employees have been with the company shortest?,What is {Robyn Manchester|name}'s exact {incomes|money} in {make|money}?,what is the {typically|function} {$|money} for employees that are {non-citizen|citizendesc},what are the {dudes|sex} {making|money},{julia|name} {termination date|employment_action},{total|function} {num of|date_compare} {CA|state} employees {hired|employment_action} in the {last|date_compare} {three months|sys_duration},Which employees share the same {birthday|dob},who is the {management|manager} individual for {Adeel Osturnka|name},as of today Ms. {Dunn|name} is {managing|manager} which employees
Why was {Mia|name} {fired|employment_action}?,What {fraction|function} of {terminations|employment_action} were due to {sexual harassment|reason_for_termination}?,Which employees were {terminated for a cause|employment_status} at the org,How much {salary|money} does {Luisa Monterro|name} bring in {daily|time_recur}?,what is the {yearly|time_recur} {compensation|money} for {non citizens|citizendesc}?,get the {pay|money} of employees in the {lowest|extreme} {earnings|money} bracket,{Quinn Rarrick|name} {bday month|dob},{sum|function} {joined|employment_action} for {less than|comparator} {4.3 yrs|sys_duration} ago,{hired|employment_action} {2013|sys_time} get me a list of the employees with their names,is the {manager|manager} for {Nan|name} the same as the {manager|manager} for {Nan|name}?,which employees have a {manager|manager} that goes by the name {Peter Monroe|name}
give me {Mia Brown|name}'s race please,What {typically|function} is the {age of|age} employees who {are too early to review|performance_score} or currently {fully meet performance expectations|performance_score}?,who are our {network engineers|position},Tell me about {Julia|name}'s {month to month|time_recur} {paycheck|money}?,"Of all the workers that {recruited|employment_action} in the {last|date_compare} {3 and a half years|sys_duration} ago, what {percent|function} {earn|money} {more than|comparator} {sixty|sys_number} grand",Which {white|racedesc} employee {income|money} the {greatest|extreme},"{date of ending employment|employment_action}, {Anthony Cisco|name} what was it",{number of|function} people working {since|date_compare} {2016|sys_time},find me {asian|racedesc} {born|dob} {between 1980 and today|sys_interval},does {elijiah gray|name} get {managed by|manager} {kamrin Sander|name},{Lindsay Lynch|name} is the {lead|manager} for which employees
which state is {Melisa|name} from,{count|function} of employees that {need improvement|performance_score} on his or her {performance score|performance_score}?,Give me employees who are {single|maritaldesc},{Joe South|name} {incomes|money},what are {database administrator|position} {earning|money} on {average|function}?,who {$|money} the {lowest|extreme} {$|money} in {sales|department} department,when did {Amy|name} officially {join|employment_action} the company,{percent|function} {1933|sys_time} {born|dob} employees,get me {accountants|position} {born|dob} {after|date_compare} {1990's|time_interval},{Maryellen Jackson|name} {boss|manager},which of our employees have {Melinda Saar-Beckles|name} as their {supervisor|manager}
Why did {Nan|name} get {fired|employment_action}?,What is the {distribution|function} of employees from different states?,who is doing {it director|position} at this company?,What is the {every year|time_recur} {dollars|money} for {Beatrice Chace|name} at Cisco?,What is the {median|function} {pay|money} of {sales engineers|position} in the {Texas|state}?,Show me the {earnings|money} of {males|sex} in this company,in what month was {Amy Foster-Baker|name} {born|dob},What is the {total|function} of employees with {bdays|dob} {prior to|date_compare} {1990|sys_time},Which employee was {hired|employment_action} within the {last month|sys_time}?,get me ms. {Judy Jung|name}'s {boss|manager} full name,name of person who {works for|manager} ms {janine purinton|name}
where is {wilson adinolfi|name} from,What is the {total|function} {number of|function} {us citizens|citizendesc}?,Which employee(s) {do not meet|performance_score} company's expectations?,{Donald|name} {paycheck|money} amount,Calculate the {average|function} {pay rate|money} at Cisco?,{income|money} {male|sex},Can you tell me how long has {Carlos|name} worked in the firm,what's the {count|function} of employees who were {born|dob} {prior to|date_compare} {1992|sys_time}?,Find me the names of those {hired|employment_action} in {2013|sys_time},is it correct to say that {Angela|name} is a {boss|manager}?,who all is {working for|manager} {Rose Ivey|name}
whats {Barry|name}'s job?,Show me the {count|function} of tenure of employees in {Florida|state}?,Which employees are {citizens|citizendesc}?,Does {abdellah|name} {incomes|money} {more|comparator} money than {forty thousand|sys_number} {on a yearly basis|time_recur}?,what is the {total|function} {amount of money|money} that employees that are {citizens|citizendesc} have {earned|money}?,get me {non citizen|citizendesc} employee {salary|money} list,"{ended her employment|employment_action}, {Earnest Hankard|name} when",{pct|function} {1902|sys_time} {bday|dob} workers,list the employees who {joined|employment_action} {last|date_compare} Monday,{seffi|name} {lead|manager} name,which employees have a {lead|manager} that goes by the name {May Roberson|name}
{Nori Sewkumar|name} occupation title?,{How many|function} employees are from {North Carolina|state}?,employees {are too early to review|performance_score},how much {earner|money} does {Paula Gross|name} make?,What is the {sum|function} {earnings|money} for {director of sales|position}?,show me the employee {salaries|money} for {females|sex} {hired|employment_action} in the {last|date_compare} {2 years|sys_duration},What was the date when {Anna Von Massenbach|name} was starting her {experience|employment_action},Calculate the {total|function} {number of|function} folks {joined|employment_action} {less than|comparator} {6.5 yrs|sys_duration} ago,Give me the employees that have been {working here for|employment_action} {six years|sys_duration} or more,{leads|manager} for {Sandra Martin|name},which employees have {Robyn manchester|name} as their {reporting|manager} point
Whats the race of {Janet King|name}?,{average|function} {age of|age} employees {fired|employment_action} due to {sexual harassment|reason_for_termination}?,provide me a list of {senior database admins|position},{Melisa Gerke|name} {incomes|money} amount info,fetch me the {min|extreme} {compensation|money} for a {network engineer|position} at this organization,{sales department|department} {salaries|money},Which month does {Simon Roup|name} have his {bday|dob},{percent|function} with {birthday|dob} in {1941|sys_time},{production|department} department employees that {joined|employment_action} us in {2010|sys_time},{manages|manager} {Rachael Baczenski|name},which are the employees that are {under|comparator} the {supervisor|manager} {Raul Garcia|name}?
give me {Jonathan hogland|name}'s race please,{How many|function} employees are {under|comparator} {30|sys_number}?,give me a list of {separated|maritaldesc},Tell me who earned the {minimum|extreme} that {began his employment|employment_action} {this year|sys_time}?,what is the {least|extreme} {$|money} in the {software engineering|department} dept,I want a list with {salaries|money} of employees that are {eligible noncitizen|citizendesc},{Shana Maurice|name} {bday month|dob},{total|function} employees were {born|dob} around {five years|sys_duration} of {1963|sys_time},which employees from the {software engineering department|department} {began working for|employment_action} us within the {last|date_compare} {four months|sys_duration},"does {mohammed latif|name} have a {boss|manager}, if so who is the guy or girl?",Please can u give the names of employees who report to {Kelley Spirea|name}
is {Alex|name} in the {admin offices|department} department,{total|function} workers {older than|comparator} {38|sys_number} {years of age|age}?,Who is {single|maritaldesc} in {it/is|department} dept,{earn|money} {Violeta Ferreira|name},What is the {average|function} {pay|money} of new grad hires?,what are the {earnings|money} for people {on a leave of absence|employment_status},Give me the {bday month|dob} of {Ivan Rogers|name},"{hired|employment_action} for {less than|comparator} {5 yrs|sys_duration} ago, {total|function}",Give me the employees that have {been here|employment_action} for {five years|sys_duration} or less,I wanna know {Tayana Jeannite|name}'s person in {leadership|manager} of her?,"{Howard|name} {manager name|manager}, which individuals?"
is {francesco barone|name} a {non-citizen|citizendesc},Which office location has the {most|extreme} employees?,{president & ceo|position},"{on a yearly basis|time_recur}, how much does {Ricardo|name} {$|money}?",Tell me about the {range|function} of {salaries|money} for employees {hired|employment_action} within the {last year|sys_time},show me the {yearly|time_recur} {earnings|money} of the {men|sex},How long was {Melisa Gerke|name} working for?,{1980|sys_time} {born|dob} employees {total|function} {percent|function},list the employees who {started working for|employment_action} us {after|date_compare} {2003|sys_time},{manager|manager} name for ms {Brigit McCarthy|name},Which employees are {under|comparator} the {Manager|manager} {Amy|name}?
